schema,table,column,type,max_length,is_nullable,has_default
dbo,cm04,CM04_MSTA,nvarchar,4,1,0
dbo,cm04,CM04_MPZI,nvarchar,18,1,0
dbo,cm04,CM04_MCAR,nvarchar,12,1,0
dbo,cm04,CM04_TXJU,varchar,2,1,0
dbo,cm04,CM04_TXE1,nvarchar,30,1,0
dbo,cm04,CM04_TXE2,nvarchar,30,1,0
dbo,cm04,CM04_EDTE,smalldatetime,4,1,0
dbo,cm04,CM04_CRED,decimal,9,1,0
dbo,cm04,CM04_WARN,decimal,9,1,0
dbo,cm04,CM04_AGRE,nvarchar,40,1,0
dbo,cm04,CM04_LONG,decimal,9,1,0
dbo,cm04,CM04_LATT,decimal,9,1,0
dbo,cm04,CM04_SUSREA,varchar,2,1,0
dbo,cm04,CM04_SUSDATE,smalldatetime,4,1,0
dbo,cm04,CM04_CCARDTYPE,varchar,2,1,0
dbo,cm04,CM04_CCARDNUM,varchar,25,1,0
dbo,cm04,CM04_CCARDEXP,varchar,5,1,0
dbo,cm04,CM04_CURR,int,4,1,0
dbo,cm04,CM04_INVNOTE,text,16,1,0
dbo,cm04,CM04_FLD1,varchar,50,1,0
dbo,cm04,CM04_FLD2,varchar,50,1,0
dbo,cm04,CM04_FLD3,varchar,50,1,0
dbo,cm04,CM04_FLD4,varchar,50,1,0
dbo,cm04,CM04_FLD5,varchar,50,1,0
dbo,cm04,CM04_FLD6,varchar,50,1,0
dbo,cm04,CM04_FLD7,varchar,50,1,0
dbo,cm04,CM04_FLD8,varchar,50,1,0
dbo,cm04,CM04_FLD9,varchar,50,1,0
dbo,cm04,CM04_FLD10,varchar,50,1,0
dbo,cm04,CM04_PCLASS,int,4,1,0
dbo,cm04,CM04_MAD3,nvarchar,80,1,0
dbo,cm04,CM04_MAD4,nvarchar,80,1,0
dbo,cm04,CM04_PONUM,nvarchar,80,1,0
dbo,cm04,CM04_ADTE,smalldatetime,4,1,0
dbo,cm04,CM04_XDTE,smalldatetime,4,1,0
dbo,cm04,CM04_CONTRACTSIGNED,bit,1,1,1
dbo,cm04,CM04_INVNOTEEXPIRES,smalldatetime,4,1,0
dbo,cm04,CM04_EMAIL,varchar,80,1,0
dbo,cm04,CM04_STIM,smalldatetime,4,1,0
dbo,cm04,CM04_ETIM,smalldatetime,4,1,0
dbo,cm04,CM04_SREP,int,4,1,0
dbo,cm04,CM04_STOREDID,varchar,50,1,0
dbo,cm04,CM04_WOCOPIES,int,4,1,0
dbo,cm04,CM04_COD,bit,1,0,1
dbo,cm04,CM04_LOST,varchar,2,1,0
dbo,cm04,CM04_INITIALTERM,int,4,1,0
dbo,cm04,CM04_RENEWTERM,int,4,1,0
dbo,cm04,CM04_REINSDATE,smalldatetime,4,1,0
dbo,cm04,CM04_ADDVERI,bit,1,0,1
dbo,cm04,CM04_MAILINGADDVERI,bit,1,0,1
dbo,cm04,CM04_LEED,bit,1,0,1
dbo,cm04,CM04_DEFPC,int,4,1,0
dbo,cm04,CM04_INVACTION,varchar,2,1,0
dbo,cm04,CM04_ZONE,varchar,2,1,0
dbo,cm04,CM04_APPLYCCPROCFEE,bit,1,0,1
dbo,cm05,CM05_CUST,int,4,0,0
dbo,cm05,CM05_SITE,int,4,0,0
dbo,cm05,CM05_SERV,int,4,0,0
dbo,cm05,CM05_TYPE,varchar,2,1,0
dbo,cm05,CM05_SIZE,decimal,9,1,0
dbo,cm05,CM05_COMP,bit,1,0,1
dbo,cm05,CM05_QTY,decimal,9,1,0
dbo,cm05,CM05_SDTE,smalldatetime,4,1,0
dbo,cm05,CM05_WEEK,int,4,1,0
dbo,cm05,CM05_NOT1,varchar,500,1,0
dbo,cm05,CM05_PRT1,bit,1,0,1
dbo,cm05,CM05_NOT2,varchar,500,1,0
dbo,cm05,CM05_PRT2,bit,1,0,1
dbo,cm05,CM05_EDTE,smalldatetime,4,1,0
dbo,cm05,CM05_ECOD,varchar,2,1,0
dbo,cm05,CM05_MAXL,decimal,9,1,0
dbo,cm05,CM05_CYCL,varchar,2,1,0
dbo,cm05,CM05_W_O,bit,1,0,1
dbo,cm05,CM05_BDTE,smalldatetime,4,1,0
dbo,cm05,CM05_AVGT,nvarchar,40,1,0
dbo,cm05,CM05_COWN,bit,1,0,1
dbo,cm05,CM05_FLD1,varchar,50,1,0
dbo,cm05,CM05_FLD2,varchar,50,1,0
dbo,cm05,CM05_FLD3,varchar,50,1,0
dbo,cm05,CM05_FLD4,varchar,50,1,0
dbo,cm05,CM05_FLD5,varchar,50,1,0
dbo,cm05,CM05_FLD6,varchar,50,1,0
dbo,cm05,CM05_FLD7,varchar,50,1,0
dbo,cm05,CM05_FLD8,varchar,50,1,0
dbo,cm05,CM05_FLD9,varchar,50,1,0
dbo,cm05,CM05_FLD10,varchar,50,1,0
dbo,cm05,CM05_UOM,varchar,2,1,0
dbo,cm05,CM05_PONUM,nvarchar,80,1,0
dbo,cm05,CM05_DRIVERNOTE,varchar,500,1,0
dbo,cm05,CM05_DRIVERNOTESTART,smalldatetime,4,1,0
dbo,cm05,CM05_DRIVERNOTEEXPIRES,smalldatetime,4,1,0
dbo,cm05,CM05_AGRE,nvarchar,40,1,0
dbo,cm05,CM05_ADTE,smalldatetime,4,1,0
