DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount,Amount Match,Landfill_Amount,Trux_Amount,Difference,Entered Ticket,Material Description
9/1/2025,44,1060897,WIZARD,96,SOUTHERN SANITATION,,#85,,CHG SALE,63.2,False,$63.20,$63.24,$-0.04,1060897,Trash
9/1/2025,44,1060919,WIZARD,96,SOUTHERN SANITATION,,#86,,CHG SALE,101.8,False,$101.80,$101.84,$-0.04,1060919,Trash
9/1/2025,44,1061017,WIZARD,96,SOUTHERN SANITATION,,#87,,CHG SALE,70.2,False,$70.20,$70.22,$-0.02,1061017,Trash
9/1/2025,44,1061139,WIZARD,96,SOUTHERN SANITATION,,#88,,CHG SALE,86.4,False,$86.40,$86.49,$-0.09,1061139,Trash
9/1/2025,44,1061160,WIZARD,96,SOUTHERN SANITATION,,#89,,CHG SALE,146.9,False,$146.90,$146.94,$-0.04,1061160,Trash
9/1/2025,44,1061186,WIZARD,96,SOUTHERN SANITATION,,#90,,CHG SALE,465.4,False,$465.40,$465.47,$-0.07,1061186,Trash
9/1/2025,44,1060905,WIZARD,96,SOUTHERN SANITATION,,#91,,CHG SALE,16.7,False,$16.70,$16.74,$-0.04,1060905,Trash
9/1/2025,44,1060917,WIZARD,96,SOUTHERN SANITATION,,#92,,CHG SALE,58.1,False,$58.10,$58.13,$-0.03,1060917,Trash
9/1/2025,44,1060954,WIZARD,96,SOUTHERN SANITATION,,#93,,CHG SALE,140.4,False,$140.40,$140.43,$-0.03,1060954,Trash
9/1/2025,44,1060963,WIZARD,96,SOUTHERN SANITATION,,#94,,CHG SALE,47.4,False,$47.40,$47.43,$-0.03,1060963,Trash
9/1/2025,44,1061024,WIZARD,96,SOUTHERN SANITATION,,#95,,CHG SALE,228.7,False,$228.70,$228.78,$-0.08,1061024,Trash
9/1/2025,44,1061028,WIZARD,96,SOUTHERN SANITATION,,#96,,CHG SALE,35.3,False,$35.30,$35.34,$-0.04,1061028,Trash
9/1/2025,44,1061039,WIZARD,96,SOUTHERN SANITATION,,#97,,CHG SALE,36.7,False,$36.70,$36.74,$-0.04,1061039,Trash
9/1/2025,44,1061042,WIZARD,96,SOUTHERN SANITATION,,#98,,CHG SALE,103.7,True,$103.70,$103.70,$0.00,1061042,Trash
9/1/2025,44,1061076,WIZARD,96,SOUTHERN SANITATION,,#99,,CHG SALE,51.1,False,$51.10,$51.15,$-0.05,1061076,Trash
9/1/2025,44,1061123,WIZARD,96,SOUTHERN SANITATION,,#100,,CHG SALE,114.8,False,$114.80,$114.86,$-0.06,1061123,Trash
9/1/2025,44,1061213,WIZARD,96,SOUTHERN SANITATION,,#101,,CHG SALE,116.2,False,$116.20,$116.25,$-0.05,1061213,Trash
9/2/2025,44,1061270,WIZARD,96,SOUTHERN SANITATION,,#102,,CHG SALE,122.3,True,$122.30,$122.30,$0.00,1061270,Trash
9/2/2025,44,1061327,WIZARD,96,SOUTHERN SANITATION,,#103,,CHG SALE,89.7,False,$89.70,$89.75,$-0.05,1061327,Trash
9/2/2025,44,1061378,WIZARD,96,SOUTHERN SANITATION,,#104,,CHG SALE,1983.1,False,"$1,983.10","$1,983.14",$-0.04,1061378,Food
9/2/2025,44,1061651,WIZARD,96,SOUTHERN SANITATION,,#105,,CHG SALE,198.0,False,$198.00,$198.09,$-0.09,1061651,Trash
9/2/2025,44,1061676,WIZARD,96,SOUTHERN SANITATION,,#106,,CHG SALE,593.2,False,$593.20,$593.21,$-0.01,1061676,Food
9/2/2025,44,1061696,WIZARD,96,SOUTHERN SANITATION,,#107,,CHG SALE,348.2,False,$348.20,$348.29,$-0.09,1061696,Trash
9/2/2025,44,1061223,WIZARD,96,SOUTHERN SANITATION,,#108,,CHG SALE,106.4,False,$106.40,$106.49,$-0.09,1061223,Trash
9/2/2025,44,1061234,WIZARD,96,SOUTHERN SANITATION,,#109,,CHG SALE,57.6,False,$57.60,$57.66,$-0.06,1061234,Trash
9/2/2025,44,1061264,WIZARD,96,SOUTHERN SANITATION,,#110,,CHG SALE,133.9,False,$133.90,$133.92,$-0.02,1061264,Trash
9/2/2025,44,1061275,WIZARD,96,SOUTHERN SANITATION,,#111,,CHG SALE,93.0,True,$93.00,$93.00,$0.00,1061275,Trash
9/2/2025,44,1061350,WIZARD,96,SOUTHERN SANITATION,,#112,,CHG SALE,35.3,False,$35.30,$35.34,$-0.04,1061350,Trash
9/2/2025,44,1061393,WIZARD,96,SOUTHERN SANITATION,,#113,,CHG SALE,45.1,False,$45.10,$45.11,$-0.01,1061393,Trash
9/2/2025,44,1061441,WIZARD,96,SOUTHERN SANITATION,,#114,,CHG SALE,17.2,False,$17.20,$17.21,$-0.01,1061441,Trash
9/2/2025,44,1061478,WIZARD,96,SOUTHERN SANITATION,,#115,,CHG SALE,135.7,False,$135.70,$135.78,$-0.08,1061478,Trash
9/2/2025,44,1061501,WIZARD,96,SOUTHERN SANITATION,,#116,,CHG SALE,26.5,False,$26.50,$26.51,$-0.01,1061501,Trash
9/2/2025,44,1061518,WIZARD,96,SOUTHERN SANITATION,,#117,,CHG SALE,63.2,False,$63.20,$63.24,$-0.04,1061518,Trash
9/2/2025,44,1061574,WIZARD,96,SOUTHERN SANITATION,,#118,,CHG SALE,80.9,False,$80.90,$80.91,$-0.01,1061574,Trash
9/2/2025,44,1061630,WIZARD,96,SOUTHERN SANITATION,,#119,,CHG SALE,62.7,False,$62.70,$62.78,$-0.08,1061630,Trash
9/2/2025,44,1061729,WIZARD,96,SOUTHERN SANITATION,,#120,,CHG SALE,239.4,False,$239.40,$239.48,$-0.08,1061729,Trash
9/2/2025,44,1061737,WIZARD,96,SOUTHERN SANITATION,,#121,,CHG SALE,57.2,True,$57.20,$57.20,$0.00,1061737,Trash
9/2/2025,44,1061743,WIZARD,96,SOUTHERN SANITATION,,#122,,CHG SALE,39.5,False,$39.50,$39.53,$-0.03,1061743,Trash
9/2/2025,44,1061758,WIZARD,96,SOUTHERN SANITATION,,#123,,CHG SALE,24.6,False,$24.60,$24.65,$-0.05,1061758,Trash
9/2/2025,44,1061761,WIZARD,96,SOUTHERN SANITATION,,#124,,CHG SALE,194.3,False,$194.30,$194.37,$-0.07,1061761,Trash
9/3/2025,44,1061772,WIZARD,96,SOUTHERN SANITATION,HEB,#125,,CHG SALE,372.0,True,$372.00,$372.00,$0.00,1061772,Trash
9/3/2025,44,1061798,WIZARD,96,SOUTHERN SANITATION,LOWES,#126,,CHG SALE,259.0,False,$259.00,$259.01,$-0.01,1061798,Trash
9/3/2025,44,1061881,WIZARD,96,SOUTHERN SANITATION,LOVES,#127,,CHG SALE,236.2,False,$236.20,$236.22,$-0.02,1061881,Trash
9/3/2025,44,1061936,WIZARD,96,SOUTHERN SANITATION,HEB,#128,,CHG SALE,352.4,False,$352.40,$352.47,$-0.07,1061936,Trash
9/3/2025,44,1061994,WIZARD,96,SOUTHERN SANITATION,HEB,#129,,CHG SALE,345.9,False,$345.90,$345.96,$-0.06,1061994,Trash
9/3/2025,44,1062196,WIZARD,96,SOUTHERN SANITATION,KOHLS,#130,RECYCLE,CHG SALE,0.0,True,$0.00,$0.00,$0.00,1062196,Cardboard
9/3/2025,44,1062266,WIZARD,96,SOUTHERN SANITATION,,#131,COMMERCIAL,CHG SALE,479.8,False,$479.80,$479.88,$-0.08,1062266,Trash
9/3/2025,44,1061779,WIZARD,96,SOUTHERN SANITATION,,#132,COMMERCIAL,CHG SALE,22.7,False,$22.70,$22.79,$-0.09,1061779,Trash
9/3/2025,44,1061788,WIZARD,96,SOUTHERN SANITATION,,#133,COMMERCIAL,CHG SALE,80.9,False,$80.90,$80.91,$-0.01,1061788,Trash
9/3/2025,44,1061845,WIZARD,96,SOUTHERN SANITATION,,#134,COMMERCIAL,CHG SALE,16.2,False,$16.20,$16.28,$-0.08,1061845,Trash
9/3/2025,44,1061861,WIZARD,96,SOUTHERN SANITATION,,#135,COMMERCIAL,CHG SALE,248.3,False,$248.30,$248.31,$-0.01,1061861,Trash
9/3/2025,44,1061903,WIZARD,96,SOUTHERN SANITATION,,#136,COMMERCIAL,CHG SALE,71.6,False,$71.60,$71.61,$-0.01,1061903,Trash
9/3/2025,44,1061928,WIZARD,96,SOUTHERN SANITATION,,#137,COMMERCIAL,CHG SALE,133.4,False,$133.40,$133.46,$-0.06,1061928,Trash
9/3/2025,44,1061959,WIZARD,96,SOUTHERN SANITATION,,#138,COMMERCIAL,CHG SALE,46.5,True,$46.50,$46.50,$0.00,1061959,Trash
9/3/2025,44,1061969,WIZARD,96,SOUTHERN SANITATION,,#139,COMMERCIAL,CHG SALE,98.1,False,$98.10,$98.12,$-0.02,1061969,Trash
9/3/2025,44,1061975,WIZARD,96,SOUTHERN SANITATION,,#140,COMMERCIAL,CHG SALE,154.8,False,$154.80,$154.85,$-0.05,1061975,Trash
9/3/2025,44,1061976,WIZARD,96,SOUTHERN SANITATION,,#141,COMMERCIAL,CHG SALE,85.5,False,$85.50,$85.56,$-0.06,1061976,Trash
9/3/2025,44,1062003,WIZARD,96,SOUTHERN SANITATION,,#142,COMMERCIAL,CHG SALE,125.0,False,$125.00,$125.09,$-0.09,1062003,Trash
9/3/2025,44,1062053,WIZARD,96,SOUTHERN SANITATION,,#143,COMMERCIAL,CHG SALE,202.2,False,$202.20,$202.28,$-0.08,1062053,Trash
9/3/2025,44,1062087,WIZARD,96,SOUTHERN SANITATION,,#144,COMMERCIAL,CHG SALE,33.0,False,$33.00,$33.02,$-0.02,1062087,Trash
9/3/2025,44,1062108,WIZARD,96,SOUTHERN SANITATION,,#145,COMMERCIAL,CHG SALE,104.1,False,$104.10,$104.16,$-0.06,1062108,Trash
9/3/2025,44,1062120,WIZARD,96,SOUTHERN SANITATION,,#146,COMMERCIAL,CHG SALE,41.8,False,$41.80,$41.85,$-0.05,1062120,Trash
9/3/2025,44,1062130,WIZARD,96,SOUTHERN SANITATION,,#147,COMMERCIAL,CHG SALE,75.3,False,$75.30,$75.33,$-0.03,1062130,Trash
9/3/2025,44,1062216,WIZARD,96,SOUTHERN SANITATION,,#148,COMMERCIAL,CHG SALE,133.4,False,$133.40,$133.46,$-0.06,1062216,Trash
9/3/2025,44,1062233,WIZARD,96,SOUTHERN SANITATION,,#149,COMMERCIAL,CHG SALE,126.9,False,$126.90,$126.95,$-0.05,1062233,Trash
9/3/2025,44,1062260,WIZARD,96,SOUTHERN SANITATION,,#150,COMMERCIAL,CHG SALE,108.3,False,$108.30,$108.35,$-0.05,1062260,Trash
9/3/2025,44,1062318,WIZARD,96,SOUTHERN SANITATION,,#151,COMMERCIAL,CHG SALE,92.0,False,$92.00,$92.07,$-0.07,1062318,Trash
9/3/2025,44,1062330,WIZARD,96,SOUTHERN SANITATION,,#152,COMMERCIAL,CHG SALE,47.4,False,$47.40,$47.43,$-0.03,1062330,Trash
9/3/2025,44,1062335,WIZARD,96,SOUTHERN SANITATION,,#153,COMMERCIAL,CHG SALE,123.2,False,$123.20,$123.23,$-0.03,1062335,Trash
