DateIn,Site,Ticket,Operator,CustNum,Customer,Reference,Vehicle,Rolloff,TransType,Amount,Amount Match,Landfill_Amount,Trux_Amount,Difference,Entered Ticket,Material Description
2025-08-01,44,1046790,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 172,,CHG  SALE,460.8,False,$460.80,$0.00,$460.80,No Match,No Match
2025-08-01,44,1046795,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 284,,CHG  SALE,66.9,False,$66.90,$66.96,$-0.06,1046795,Trash
2025-08-01,44,1046822,ROSIE,96,SOUTHERN SANITATION SERVICE,,#93 77,,CHG  SALE,653.8,False,$653.80,$653.83,$-0.03,1046822,Food
2025-08-01,44,1046842,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 115,,CHG  SALE,31.1,False,$31.10,$31.16,$-0.06,1046842,Trash
2025-08-01,44,1046868,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 272,,CHG  SALE,156.2,False,$156.20,$156.24,$-0.04,1046868,Trash
2025-08-01,44,1046908,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 345,,CHG  SALE,33.9,False,$33.90,$33.95,$-0.05,1046908,Trash
2025-08-01,44,1046913,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 199,,CHG  SALE,17.6,False,$17.60,$17.67,$-0.07,1046913,Trash
2025-08-01,44,1046920,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 363,,CHG  SALE,58.1,False,$58.10,$58.13,$-0.03,1046920,Trash
2025-08-01,44,1046952,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 293,,CHG  SALE,132.9,False,$132.90,$132.99,$-0.09,1046952,Trash
2025-08-01,44,1046986,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 19,,CHG  SALE,54.4,False,$54.40,$54.41,$-0.01,1046986,Trash
2025-08-01,44,1046997,ROSIE,96,SOUTHERN SANITATION SERVICE,DOCTORS,#85,,CHG  SALE,183.6,False,$183.60,$183.68,$-0.08,1046997,Trash
2025-08-01,44,1047018,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 125,,CHG  SALE,209.2,False,$209.20,$209.25,$-0.05,1047018,Trash
2025-08-01,44,1047043,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 161,,CHG  SALE,89.7,False,$89.70,$89.75,$-0.05,1047043,Trash
2025-08-01,44,1047053,ROSIE,96,SOUTHERN SANITATION SERVICE,LA POSADA,#79,,CHG  SALE,144.6,False,$144.60,$144.62,$-0.02,1047053,Trash
2025-08-01,44,1047057,ROSIE,96,SOUTHERN SANITATION SERVICE,WALMART,#93,,CHG  SALE,485.9,False,$485.90,$485.93,$-0.03,1047057,Trash
2025-08-01,44,1047093,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 272,,CHG  SALE,46.0,False,$46.00,$46.04,$-0.04,1047093,Trash
2025-08-01,44,1047144,SANDY,96,SOUTHERN SANITATION SERVICE,WALMART,LS-3,,CHG  SALE,96.2,False,$96.20,$0.00,$96.20,No Match,No Match
2025-08-01,44,1047190,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 142,,CHG  SALE,27.4,False,$27.40,$27.44,$-0.04,1047190,Trash
2025-08-01,44,1047196,WIZARD,96,SOUTHERN SANITATION SERVICE,,#79 104,,CHG  SALE,53.4,False,$53.40,$53.48,$-0.08,1047196,Trash
2025-08-01,44,1047202,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 308,,CHG  SALE,251.5,False,$251.50,$251.57,$-0.07,1047202,Trash
2025-08-01,44,1047261,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 306,,CHG  SALE,46.0,False,$46.00,$46.04,$-0.04,1047261,Trash
2025-08-01,44,1047264,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 30,,CHG  SALE,42.3,False,$42.30,$0.00,$42.30,No Match,No Match
2025-08-01,44,1047285,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 248,,CHG  SALE,155.3,False,$155.30,$0.00,$155.30,No Match,No Match
2025-08-01,44,1047290,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 235,,CHG  SALE,39.9,False,$39.90,$39.99,$-0.09,1047290,Trash
2025-08-01,44,1047293,SANDY,96,SOUTHERN SANITATION SERVICE,WALMART,#79,,CHG  SALE,279.4,False,$279.40,$279.47,$-0.07,1047293,Trash
2025-08-01,44,1047317,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 184,,CHG  SALE,72.5,False,$72.50,$72.54,$-0.04,1047317,Trash
2025-08-01,44,1047329,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 54,,CHG  SALE,187.4,True,$187.40,$187.40,$0.00,1047329,Trash
2025-08-01,44,1047340,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 80,,CHG  SALE,84.1,False,$84.10,$84.17,$-0.07,1047340,Trash
2025-08-02,44,1047383,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 81,,CHG  SALE,76.2,False,$76.20,$76.26,$-0.06,1047383,Trash
2025-08-02,44,1047444,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 163,,CHG  SALE,59.5,False,$59.50,$59.52,$-0.02,1047444,Trash
2025-08-02,44,1047500,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 251,,CHG  SALE,21.8,False,$21.80,$21.86,$-0.06,1047500,Trash
2025-08-02,44,1047503,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 151,,CHG  SALE,3.7,False,$3.70,$3.72,$-0.02,1047503,Trash
2025-08-02,44,1047562,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 44,,CHG  SALE,62.7,False,$62.70,$62.78,$-0.08,1047562,Trash
2025-08-02,44,1047567,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 293,,CHG  SALE,13.9,False,$13.90,$13.95,$-0.05,1047567,Trash
2025-08-02,44,1047578,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 95,,CHG  SALE,155.3,False,$155.30,$155.31,$-0.01,1047578,Trash
2025-08-02,44,1047593,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 56,,CHG  SALE,16.7,False,$16.70,$16.74,$-0.04,1047593,Trash
2025-08-02,44,1047614,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 220,,CHG  SALE,31.1,False,$31.10,$31.16,$-0.06,1047614,Trash
2025-08-02,44,1047631,SANDY,96,SOUTHERN SANITATION SERVICE,,#85 181	,,CHG  SALE,30.6,False,$30.60,$30.69,$-0.09,1047631,Trash
2025-08-02,44,1047664,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 127,,CHG  SALE,36.7,False,$36.70,$36.74,$-0.04,1047664,Trash
2025-08-02,44,1047680,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 381,,CHG  SALE,46.5,True,$46.50,$46.50,$0.00,1047680,Trash
2025-08-02,44,1047682,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 243,,CHG  SALE,64.6,False,$64.60,$64.64,$-0.04,1047682,Trash
2025-08-02,44,1047695,SANDY,96,SOUTHERN SANITATION SERVICE,,#94 381,,CHG  SALE,10.0,False,$10.00,$0.00,$10.00,No Match,No Match
2025-08-02,44,1047709,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 374,,CHG  SALE,245.5,False,$245.50,$245.52,$-0.02,1047709,Trash
2025-08-02,44,1047721,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 66,,CHG  SALE,55.8,True,$55.80,$55.80,$0.00,1047721,Trash
2025-08-02,44,1047804,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 360,,CHG  SALE,88.8,False,$88.80,$88.82,$-0.02,1047804,Trash
2025-08-02,44,1047810,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 120,,CHG  SALE,261.8,True,$261.80,$261.80,$0.00,1047810,Trash
2025-08-02,44,1047818,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 351,,CHG  SALE,33.4,False,$33.40,$33.48,$-0.08,1047818,Trash
2025-08-02,44,1047917,WIZARD,96,SOUTHERN SANITATION SERVICE,,#93 8,,CHG  SALE,30.2,False,$30.20,$30.23,$-0.03,1047917,Trash
2025-08-02,44,1047928,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 116,,CHG  SALE,67.4,False,$67.40,$67.43,$-0.03,1047928,Trash
2025-08-04,44,1047954,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 87,,CHG  SALE,69.2,False,$69.20,$69.29,$-0.09,1047954,Trash
2025-08-04,44,1047973,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 143,,CHG  SALE,82.7,False,$82.70,$82.77,$-0.07,1047973,Trash
2025-08-04,44,1047988,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 168,,CHG  SALE,122.7,False,$122.70,$122.76,$-0.06,1047988,Trash
2025-08-04,44,1047996,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 257,,CHG  SALE,130.2,True,$130.20,$130.20,$0.00,1047996,Trash
2025-08-04,44,1048016,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 306,,CHG  SALE,64.6,False,$64.60,$64.64,$-0.04,1048016,Trash
2025-08-04,44,1048050,SANDY,96,SOUTHERN SANITATION SERVICE,,LS-3,,CHG  SALE,92.5,False,$92.50,$92.54,$-0.04,1048050,Trash
2025-08-04,44,1048069,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 138,,CHG  SALE,62.7,False,$62.70,$62.78,$-0.08,1048069,Trash
2025-08-04,44,1048070,SANDY,96,SOUTHERN SANITATION SERVICE,,#85,,CHG  SALE,90.2,False,$90.20,$90.21,$-0.01,1048070,Trash
2025-08-04,44,1048083,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 221,,CHG  SALE,285.0,False,$285.00,$285.05,$-0.05,1048083,Trash
2025-08-04,44,1048167,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 10,,CHG  SALE,21.3,False,$21.30,$21.39,$-0.09,1048167,Trash
2025-08-04,44,1048181,WIZARD,96,SOUTHERN SANITATION SERVICE,,#94 372,,CHG  SALE,107.8,False,$107.80,$107.88,$-0.08,1048181,Trash
2025-08-04,44,1048186,WIZARD,96,SOUTHERN SANITATION SERVICE,,#85 52,,CHG  SALE,83.2,False,$83.20,$83.24,$-0.04,1048186,Trash
2025-08-04,44,1048211,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 123,,CHG  SALE,93.9,False,$93.90,$93.93,$-0.03,1048211,Trash
2025-08-04,44,1048247,ROSIE,96,SOUTHERN SANITATION SERVICE,,#79 232,,CHG  SALE,349.2,False,$349.20,$349.22,$-0.02,1048247,Trash
2025-08-04,44,1048254,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 189,,CHG  SALE,111.6,True,$111.60,$111.60,$0.00,1048254,Trash
2025-08-04,44,1048297,WIZARD,96,SOUTHERN SANITATION SERVICE,,LS-3 35,,CHG  SALE,297.1,False,$297.10,$297.14,$-0.04,1048297,Trash
2025-08-04,44,1048354,WIZARD,96,SOUTHERN SANITATION SERVICE,,#87 328,,CHG  SALE,44.6,False,$44.60,$44.64,$-0.04,1048354,Trash
2025-08-04,44,1048359,ROSIE,96,SOUTHERN SANITATION SERVICE,LA POSADA,#85,,CHG  SALE,55.3,False,$55.30,$55.34,$-0.04,1048359,Trash
